text,emotion
I feel nausea rising,disgust
That behavior is repulsive,disgust
I feel grossed out by this,disgust
This is deeply offensive,disgust
I feel appalled,disgust
That made me feel sick inside,disgust
I feel disgust taking over,disgust
This is unacceptable and gross,disgust
I feel disturbed by this sight,disgust
That smell makes me nauseous,disgust
I feel repulsion strongly,disgust
This is beyond disgusting,disgust
I feel sick just seeing it,disgust
That taste was revolting,disgust
I am disgusted by the situation,disgust
This makes my skin crawl,disgust
I feel nausea immediately,disgust
That was deeply gross,disgust
I feel sickened emotionally,disgust
This behavior is vile,disgust
I feel repulsed instantly,disgust
That sight is horrifying,disgust
I am disgusted inside,disgust
This makes me uncomfortable,disgust
I feel gross emotions,disgust
That smell turns my stomach,disgust
I feel revolted by this,disgust
This is sickening behavior,disgust
I feel disgust growing,disgust
That was nauseating,disgust
I feel repelled emotionally,disgust
This is extremely disturbing,disgust
I feel sickened deeply,disgust
That sight was appalling,disgust
I feel disgusted instantly,disgust
This behavior makes me sick,disgust
I feel uncomfortable and repulsed,disgust
That was absolutely vile,disgust
I feel nauseated by this smell,disgust
This is morally disgusting,disgust
I feel revolted inside,disgust
That taste was awful,disgust
I am disgusted by what I saw,disgust
This makes me feel dirty,disgust
I feel repulsion rising,disgust
That smell is horrific,disgust
I feel disgusted by this act,disgust
This is unpleasant to witness,disgust
I feel sickened again,disgust
That sight made me gag,disgust
I feel disgust tightening my stomach,disgust
This behavior is disturbing,disgust
I feel grossed out completely,disgust
That was unacceptable and gross,disgust
I feel repelled by this action,disgust
This is utterly foul,disgust
I feel nausea spreading,disgust
That smell disgusts me,disgust
I feel disturbed emotionally,disgust
This is horrifying to watch,disgust
I feel sickened instantly,disgust
That behavior makes me gag,disgust
I feel revolted by the smell,disgust
This is deeply repulsive,disgust
I feel disgust overwhelming me,disgust
That was stomach turning,disgust
I feel disgusted beyond tolerance,disgust
I am going to the store,neutral
The meeting is at 3 pm,neutral
Today is Monday,neutral
I am working on my assignment,neutral
Please send the file,neutral
The weather is normal today,neutral
I will call you later,neutral
This is an average day,neutral
Nothing special happened,neutral
I am reading a book,neutral
I am waiting for the bus,neutral
I have a class tomorrow,neutral
I need to finish this report,neutral
The temperature is 72 degrees,neutral
I have an appointment at noon,neutral
The package arrived yesterday,neutral
I am typing an email,neutral
The train leaves at 5 pm,neutral
I need to buy groceries,neutral
The meeting was rescheduled,neutral
I am organizing my desk,neutral
The document is on the table,neutral
I will be there in 10 minutes,neutral
The office opens at 9 am,neutral
I am reviewing the notes,neutral
The deadline is next week,neutral
I took the bus this morning,neutral
The printer is out of paper,neutral
I am checking my calendar,neutral
The project is progressing,neutral
I need to update the file,neutral
The presentation is ready,neutral
I am attending a workshop,neutral
The conference is virtual,neutral
I have a dentist appointment,neutral
The report is due Friday,neutral
I am preparing lunch,neutral
The invoice was sent,neutral
I need to charge my phone,neutral
The building is two blocks away,neutral
I am making a to-do list,neutral
The email was forwarded,neutral
The data is being processed,neutral
I am on my way,neutral
The meeting is scheduled,neutral
I need to print this document,neutral
The system is running,neutral
I am taking notes,neutral
The report is complete,neutral
I have a task to finish,neutral
The door is closed,neutral
I am using the computer,neutral
The time is 2 pm,neutral
I need to organize files,neutral
The email has been sent,neutral
I am attending the session,neutral
The project continues,neutral
I have received the message,neutral
The status is pending,neutral
I am following the procedure,neutral
The form is available online,neutral
I will review it later,neutral
The application was submitted,neutral
I am reading the manual,neutral
The system is operational,neutral
I need to backup files,neutral
The connection is stable,neutral
I am downloading the software,neutral
The update is complete,neutral
I have a phone interview,neutral
The server is online,neutral
I am configuring settings,neutral
The database is accessible,neutral
I need to verify information,neutral
The network is functional,neutral
I am testing the application,neutral
The installation was successful,neutral
I have a meeting request,neutral
The file transfer completed,neutral
I am reviewing documentation,neutral
The ticket was created,neutral
I need to schedule maintenance,neutral
The backup is running,neutral
I am monitoring performance,neutral
The logs are being analyzed,neutral
I have a training session,neutral
The upgrade is planned,neutral
I am documenting procedures,neutral
The audit is scheduled,neutral
I need to configure permissions,neutral
The integration is working,neutral
I am troubleshooting issues,neutral
The deployment is ready,neutral
I have a status update,neutral
The migration is complete,neutral
I am optimizing queries,neutral
The sync is in progress,neutral
I need to update dependencies,neutral
The build succeeded,neutral
I am running tests,neutral
I am sitting at my desk,neutral
The task is ongoing,neutral
I am reviewing the document,neutral
The system is working properly,neutral
I am waiting for confirmation,neutral
The file was uploaded,neutral
I am attending the meeting,neutral
The process is complete,neutral
I am checking the schedule,neutral
The data was recorded,neutral
I am reading the instructions,neutral
The update was successful,neutral
I am preparing the report,neutral
The task remains pending,neutral
I am organizing my workspace,neutral
The message was delivered,neutral
I am following the guidelines,neutral
The operation is normal,neutral
I am verifying the details,neutral
The system is stable,neutral
I am reviewing the results,neutral
The document is saved,neutral
I am monitoring the progress,neutral
The meeting is scheduled,neutral
I am checking notifications,neutral
The form is submitted,neutral
I am preparing for the session,neutral
The process is running,neutral
I am updating the record,neutral
The file is accessible,neutral
I am reviewing emails,neutral
The task is assigned,neutral
I am attending training,neutral
The schedule is updated,neutral
I am waiting for a response,neutral
The system is online,neutral
I am taking notes,neutral
The report is finalized,neutral
I am reviewing data,neutral
The connection is active,neutral
I am checking the system,neutral
The document is approved,neutral
I am organizing files,neutral
The update is pending,neutral
I am reviewing logs,neutral
The process is automated,neutral
I am completing the checklist,neutral
The data is synced,neutral
I am preparing documentation,neutral
The request is submitted,neutral
I am reviewing the agenda,neutral
The system is functional,neutral
I am checking records,neutral
The file transfer succeeded,neutral
I am updating information,neutral
The task is completed,neutral
I am reviewing procedures,neutral
The backup is running,neutral
I am monitoring performance,neutral
The deployment is ready,neutral
I am reviewing reports,neutral
The ticket is created,neutral
I am preparing a summary,neutral
The process is verified,neutral
I am scheduling maintenance,neutral
The system passed testing,neutral
I am checking configurations,neutral
The update is installed,neutral
I am verifying accuracy,neutral
The operation is successful,neutral
I am documenting changes,neutral
The workflow is active,neutral
I am reviewing compliance,neutral
The file is archived,neutral
I am updating settings,neutral
The system is responsive,neutral
I am reviewing status,neutral
The task is in progress,neutral
I am analyzing data,neutral
The process is complete,neutral
I am preparing notes,neutral
The system is maintained,neutral
I am reviewing output,neutral
The request is processed,neutral
I am organizing tasks,neutral
The update is verified,neutral
I am monitoring systems,neutral
The document is finalized,neutral
I am reviewing logs again,neutral
The system is ready,neutral
I am preparing a checklist,neutral
The data is updated,neutral
I am reviewing inputs,neutral
The operation continues,neutral
I am verifying results,neutral
The system remains stable,neutral
I am reviewing metrics,neutral
The process is ongoing,neutral
I am documenting results,neutral
The task is recorded,neutral
